Timestamp,Sensor,X,Y,Z
73932.742484659,Accelerometer,-0.22,-0.08,9.84
73932.935023878,Accelerometer,-0.21,-0.08,9.84
73933.127563149,Accelerometer,-0.21,-0.08,9.85
73933.320102419,Accelerometer,-0.22,-0.08,9.85
73933.51264169,Accelerometer,-0.22,-0.08,9.85
73933.705181013,Accelerometer,-0.23,-0.08,9.85
73933.897720284,Accelerometer,-0.22,-0.08,9.85
73934.090259607,Accelerometer,-0.22,-0.08,9.85
73934.28279893,Accelerometer,-0.21,-0.08,9.86
73934.475338201,Accelerometer,-0.22,-0.08,9.85
73934.667877471,Accelerometer,-0.22,-0.08,9.85
73934.860416742,Accelerometer,-0.21,-0.08,9.85
73935.052956013,Accelerometer,-0.22,-0.08,9.85
73935.245495232,Accelerometer,-0.22,-0.08,9.85
73935.438034503,Accelerometer,-0.22,-0.08,9.85
73935.630573774,Accelerometer,-0.22,-0.08,9.85
73935.823113044,Accelerometer,-0.22,-0.08,9.85
73936.015652315,Accelerometer,-0.22,-0.08,9.85
73936.208191534,Accelerometer,-0.22,-0.08,9.85
73936.400730805,Accelerometer,-0.22,-0.08,9.85
73936.593270076,Accelerometer,-0.22,-0.08,9.85
73936.785809294,Accelerometer,-0.22,-0.08,9.84
73936.978348565,Accelerometer,-0.22,-0.08,9.85
73937.170887836,Accelerometer,-0.22,-0.08,9.85
73937.363427159,Accelerometer,-0.22,-0.08,9.85
73937.555966482,Accelerometer,-0.22,-0.08,9.85
73937.748505753,Accelerometer,-0.22,-0.08,9.85
73937.941045076,Accelerometer,-0.22,-0.08,9.85
73938.133584399,Accelerometer,-0.22,-0.08,9.85
73938.326123721,Accelerometer,-0.22,-0.08,9.85
73938.518663096,Accelerometer,-0.22,-0.08,9.85
73938.711202419,Accelerometer,-0.22,-0.08,9.85
73938.903741794,Accelerometer,-0.22,-0.08,9.85
73939.096281221,Accelerometer,-0.22,-0.08,9.85
73939.288820596,Accelerometer,-0.22,-0.08,9.84
73939.481360024,Accelerometer,-0.22,-0.08,9.85
73939.673899451,Accelerometer,-0.22,-0.08,9.84
73939.86643893,Accelerometer,-0.21,-0.09,9.85
73940.058978409,Accelerometer,-0.21,-0.08,9.85
73940.251517888,Accelerometer,-0.21,-0.08,9.85
73940.444057367,Accelerometer,-0.22,-0.08,9.85
73940.636596951,Accelerometer,-0.21,-0.08,9.85
